competition_count_by_season,season_id,competition_id,international_competitions,data
{'2015/2016': Decimal('1')},27,12,[],"{'competition_count_by_season': {'2015/2016': Decimal('1')}, 'season_name': '2015/2016', 'match_updated': '2024-06-25T23:56:11.910924', 'season_id': Decimal('27'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': None, 'competition_name': 'Serie A', 'competition_id': Decimal('12'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Italy', 'match_available': '2024-06-25T23:56:11.910924'}"
{'1986/1987': Decimal('1')},86,12,[],"{'competition_count_by_season': {'1986/1987': Decimal('1')}, 'season_name': '1986/1987', 'match_updated': '2023-06-18T01:55:53.343752', 'season_id': Decimal('86'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': None, 'competition_name': 'Serie A', 'competition_id': Decimal('12'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Italy', 'match_available': '2023-06-18T01:55:53.343752'}"
{'2015/2016': Decimal('1')},27,9,[],"{'competition_count_by_season': {'2015/2016': Decimal('1')}, 'season_name': '2015/2016', 'match_updated': '2024-05-19T11:11:14.192381', 'season_id': Decimal('27'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': None, 'competition_name': '1. Bundesliga', 'competition_id': Decimal('9'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Germany', 'match_available': '2024-05-19T11:11:14.192381'}"
{'2023/2024': Decimal('1')},281,9,[],"{'competition_count_by_season': {'2023/2024': Decimal('1')}, 'season_name': '2023/2024', 'match_updated': '2024-07-15T14:15:54.671676', 'season_id': Decimal('281'), 'competition_gender': 'male', 'match_available_360': '2024-07-15T14:17:00.877356', 'match_updated_360': '2024-07-15T14:17:00.877356', 'competition_name': '1. Bundesliga', 'competition_id': Decimal('9'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Germany', 'match_available': '2024-07-15T14:15:54.671676'}"
{'2022': Decimal('1')},106,53,"[{'match_available_360': '2024-02-13T13:30:52.820588', 'match_updated_360': '2024-02-13T13:30:52.820588', 'competition_name': ""UEFA Women's Euro"", 'season_name': '2022', 'match_updated': '2024-02-13T13:27:17.178263', 'competition_id': Decimal('53'), 'competition_international': True, 'competition_youth': False, 'country_name': 'Europe', 'season_id': Decimal('106'), 'competition_gender': 'female', 'match_available': '2024-02-13T13:27:17.178263'}]","{'competition_count_by_season': {'2022': Decimal('1')}, 'season_name': '2022', 'match_updated': '2024-02-13T13:27:17.178263', 'season_id': Decimal('106'), 'competition_gender': 'female', 'match_available_360': '2024-02-13T13:30:52.820588', 'match_updated_360': '2024-02-13T13:30:52.820588', 'competition_name': ""UEFA Women's Euro"", 'competition_id': Decimal('53'), 'competition_international': True, 'competition_youth': False, 'international_competitions': [{'match_available_360': '2024-02-13T13:30:52.820588', 'match_updated_360': '2024-02-13T13:30:52.820588', 'competition_name': ""UEFA Women's Euro"", 'season_name': '2022', 'match_updated': '2024-02-13T13:27:17.178263', 'competition_id': Decimal('53'), 'competition_international': True, 'competition_youth': False, 'country_name': 'Europe', 'season_id': Decimal('106'), 'competition_gender': 'female', 'match_available': '2024-02-13T13:27:17.178263'}], 'country_name': 'Europe', 'match_available': '2024-02-13T13:27:17.178263'}"
{'2017/2018': Decimal('1')},1,16,[],"{'competition_count_by_season': {'2017/2018': Decimal('1')}, 'season_name': '2017/2018', 'match_updated': '2024-02-13T02:35:28.134882', 'season_id': Decimal('1'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'Champions League', 'competition_id': Decimal('16'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Europe', 'match_available': '2024-02-13T02:35:28.134882'}"
{'2016/2017': Decimal('1')},2,16,[],"{'competition_count_by_season': {'2016/2017': Decimal('1')}, 'season_name': '2016/2017', 'match_updated': '2024-02-13T02:37:32.205154', 'season_id': Decimal('2'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'Champions League', 'competition_id': Decimal('16'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Europe', 'match_available': '2024-02-13T02:37:32.205154'}"
{'2018/2019': Decimal('1')},4,16,[],"{'competition_count_by_season': {'2018/2019': Decimal('1')}, 'season_name': '2018/2019', 'match_updated': '2024-06-12T07:44:38.559714', 'season_id': Decimal('4'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'Champions League', 'competition_id': Decimal('16'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Europe', 'match_available': '2024-06-12T07:44:38.559714'}"
{'2009/2010': Decimal('1')},21,16,[],"{'competition_count_by_season': {'2009/2010': Decimal('1')}, 'season_name': '2009/2010', 'match_updated': '2024-02-12T12:49:25.017694', 'season_id': Decimal('21'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'Champions League', 'competition_id': Decimal('16'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Europe', 'match_available': '2024-02-12T12:49:25.017694'}"
{'2010/2011': Decimal('1')},22,16,[],"{'competition_count_by_season': {'2010/2011': Decimal('1')}, 'season_name': '2010/2011', 'match_updated': '2024-02-12T12:53:03.944320', 'season_id': Decimal('22'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'Champions League', 'competition_id': Decimal('16'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Europe', 'match_available': '2024-02-12T12:53:03.944320'}"
{'2011/2012': Decimal('1')},23,16,[],"{'competition_count_by_season': {'2011/2012': Decimal('1')}, 'season_name': '2011/2012', 'match_updated': '2024-02-13T02:36:35.698340', 'season_id': Decimal('23'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'Champions League', 'competition_id': Decimal('16'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Europe', 'match_available': '2024-02-13T02:36:35.698340'}"
{'2012/2013': Decimal('1')},24,16,[],"{'competition_count_by_season': {'2012/2013': Decimal('1')}, 'season_name': '2012/2013', 'match_updated': '2024-02-12T12:47:34.340413', 'season_id': Decimal('24'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'Champions League', 'competition_id': Decimal('16'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Europe', 'match_available': '2024-02-12T12:47:34.340413'}"
{'2013/2014': Decimal('1')},25,16,[],"{'competition_count_by_season': {'2013/2014': Decimal('1')}, 'season_name': '2013/2014', 'match_updated': '2024-02-12T12:48:48.479157', 'season_id': Decimal('25'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'Champions League', 'competition_id': Decimal('16'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Europe', 'match_available': '2024-02-12T12:48:48.479157'}"
{'2014/2015': Decimal('1')},26,16,[],"{'competition_count_by_season': {'2014/2015': Decimal('1')}, 'season_name': '2014/2015', 'match_updated': '2024-02-12T12:49:54.914228', 'season_id': Decimal('26'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'Champions League', 'competition_id': Decimal('16'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Europe', 'match_available': '2024-02-12T12:49:54.914228'}"
{'2015/2016': Decimal('1')},27,16,[],"{'competition_count_by_season': {'2015/2016': Decimal('1')}, 'season_name': '2015/2016', 'match_updated': '2024-06-12T07:45:38.786894', 'season_id': Decimal('27'), 'competition_gender': 'male', 'match_available_360': None, 'match_updated_360': '2021-06-13T16:17:31.694', 'competition_name': 'Champions League', 'competition_id': Decimal('16'), 'competition_international': False, 'competition_youth': False, 'international_competitions': [], 'country_name': 'Europe', 'match_available': '2024-06-12T07:45:38.786894'}"
