match_id,index,under_pressure,location,player,timestamp,possession,period,team_id,player_id,play_pattern,related_events,minute,second,possession_team,possession_team_id,team,id,duration,dribble,position,type,out,off_camera
3754060,70,True,"[Decimal('78.3'), Decimal('15.7')]",Philippe Coutinho Correia,00:01:12.006,5,1,24,3501,Regular Play,['59177539-507f-4f8a-b938-750c16361903'],1,12,Everton,29,Liverpool,3fb25ac6-1938-4d08-8dfd-8c19ef337581,0,"{'nutmeg': True, 'outcome': {'name': 'Incomplete', 'id': Decimal('9')}}",Left Center Midfield,Dribble,No existe,0.0
3754076,119,True,"[Decimal('61.9'), Decimal('16.9')]",Dimitri Payet,00:02:12.323,7,1,40,3491,Regular Play,['bea3568f-2ba5-4961-938e-717ab86fcc07'],2,12,West Ham United,40,West Ham United,b5186016-d591-4cfb-85dc-4ce22f292c9a,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Center Attacking Midfield,Dribble,No existe,0.0
3829455,78,True,"[Decimal('112.6'), Decimal('15.1')]",Chris Mavinga,00:01:25.827,5,1,133,18162,From Throw In,"['4dbc1a03-d1b0-4dfe-84f4-661ff851b63a', 'fba091e1-b1ff-4819-a9bd-f0a4df8576f0']",1,25,Troyes,133,Troyes,6201752e-3b62-4f9f-a793-9f4997932e49,0,"{'outcome': {'name': 'Incomplete', 'id': Decimal('9')}, 'overrun': True}",Left Back,Dribble,True,0.0
3837717,271,True,"[Decimal('86.6'), Decimal('39')]",Lionel Andrés Messi Cuccittini,00:04:31.574,10,1,131,5503,From Free Kick,['2b22d576-f034-41e5-ae1f-6e14a225816b'],4,31,Paris Saint-Germain,131,Paris Saint-Germain,4beed607-e2d3-4858-8782-dc22321842ba,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Right Attacking Midfield,Dribble,No existe,0.0
3893823,145,True,"[Decimal('56.2'), Decimal('11.2')]",Raquel Rodriguez,00:03:32.881,9,1,1832,4967,Regular Play,"['4e80d807-2573-4ec2-a60f-e0280862827c', '7cac1900-0dfd-4ce3-aee2-cf8843ec637c']",3,32,Costa Rica Women's,1832,Costa Rica Women's,265af9c2-c4bc-4225-aab3-b83ba1cfaad7,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Defensive Midfield,Dribble,No existe,0.0
69186,113,True,"[Decimal('67.2'), Decimal('45.4')]",Lionel Andrés Messi Cuccittini,00:01:50.893,6,1,217,5503,Regular Play,['ef46fda7-ffd0-4a97-8c04-886f6091f8fc'],1,50,Barcelona,217,Barcelona,ef25abde-22fb-4ed3-a9f7-729a117ee701,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Right Wing,Dribble,No existe,0.0
3788769,138,True,"[Decimal('44.4'), Decimal('17')]",Daler Kuzyaev,00:03:48.587,15,1,796,5179,Other,['187f1334-9e98-4439-80e2-66e2638a6f8f'],3,48,Russia,796,Russia,a77f3c9d-3239-4b9e-b248-5ec4348cc48b,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Wing Back,Dribble,No existe,0.0
3775658,77,True,"[Decimal('9.9'), Decimal('49.6')]",Mary Alexandra Earps,00:01:43.276,7,1,1475,31538,Regular Play,['245bbd39-f422-4bb2-88d7-4cbd916966ec'],1,43,Manchester United,1475,Manchester United,763449a1-7621-4074-8ef5-ebb94faa743e,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Goalkeeper,Dribble,No existe,0.0
3749462,41,True,"[Decimal('114'), Decimal('7.4')]",Stan Lazaridis,00:00:29.221,4,1,54,40295,Regular Play,['dc732467-13ee-4f29-a895-a29e400485ae'],0,29,Birmingham City,54,Birmingham City,568aea65-f802-49ad-8b74-50249f811dd5,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Midfield,Dribble,No existe,0.0
3754110,55,True,"[Decimal('80.9'), Decimal('24.3')]",Enner Remberto Valencia Lastra,00:00:44.529,3,1,40,28559,Regular Play,['6e2069a0-f8ae-439a-a6f9-e3bcb44f382d'],0,44,West Ham United,40,West Ham United,6734ace6-0307-486c-8ccb-0402b9b09f3f,0,"{'outcome': {'name': 'Incomplete', 'id': Decimal('9')}}",Center Forward,Dribble,No existe,0.0
3890488,377,True,"[Decimal('57.2'), Decimal('3.7')]",Raffael Caetano de Araújo,00:05:50.232,19,1,185,8810,Regular Play,['771de995-9e78-4b6c-a7bf-dc6b5554377f'],5,50,Borussia Mönchengladbach,185,Borussia Mönchengladbach,54a1a69f-885f-47a5-9431-006f8daaa419,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}, 'nutmeg': True, 'overrun': True}",Left Wing,Dribble,No existe,0.0
3879831,240,True,"[Decimal('44.9'), Decimal('14.5')]",Gregoire Defrel,00:05:42.871,16,1,232,7457,Regular Play,['748f9a20-efb0-4b3c-866a-eeda35789c01'],5,42,Sassuolo,232,Sassuolo,a73048e2-6004-4a65-9ba4-2f855843b5dd,0.204532,"{'nutmeg': True, 'outcome': {'name': 'Incomplete', 'id': Decimal('9')}}",Center Forward,Dribble,No existe,0.0
3879723,162,True,"[Decimal('53.3'), Decimal('9.5')]",Geoffrey Kondogbia,00:03:18.218,6,1,238,6589,Regular Play,['b229edcc-440f-4dcb-8e99-81aef796b4ae'],3,18,Inter Milan,238,Inter Milan,89105301-8bcd-41e1-80cb-cfe7b40b24de,0,"{'outcome': {'name': 'Incomplete', 'id': Decimal('9')}}",Left Center Midfield,Dribble,No existe,0.0
3754164,293,True,"[Decimal('63.8'), Decimal('5')]",Wahbi Khazri,00:06:22.455,14,1,41,3196,Regular Play,['5e5ea5f5-dc47-4322-81f6-c5b39ed2101b'],6,22,Sunderland,41,Sunderland,d47fad08-55a7-47cc-96b6-0f42db220c15,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Midfield,Dribble,No existe,0.0
3879709,298,True,"[Decimal('105.3'), Decimal('28.4')]",Antonio Di Gaudio,00:06:28.630,23,1,1683,11502,From Throw In,['6f3c4a76-d098-424e-b73e-7cee1ec14291'],6,28,Carpi,1683,Carpi,ac6f5b99-c96d-4d73-adc9-0fe0bb83b065,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Midfield,Dribble,No existe,0.0
3893817,133,True,"[Decimal('99'), Decimal('25.1')]",Ramona Bachmann,00:01:59.790,4,1,860,4659,Regular Play,['f60e7948-46ce-4264-916b-13fe970cb263'],1,59,Switzerland Women's,860,Switzerland Women's,75478477-a61f-43d5-9b5c-a14d25e0f2e7,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Wing,Dribble,No existe,0.0
68357,41,True,"[Decimal('108.3'), Decimal('23.6')]",Samantha May Kerr,00:00:23.786,4,1,1205,4961,From Counter,['adeb6b13-cb74-4333-8832-ea11475c80ef'],0,23,Australia Women's,1205,Australia Women's,9b3b7a4e-7d61-4ecb-8a2b-cd7916e29590,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Center Forward,Dribble,No existe,0.0
3754305,51,True,"[Decimal('76.1'), Decimal('41.3')]",Mesut Özil,00:01:02.312,5,1,1,3496,From Free Kick,['cb227dcb-1c8d-48df-8d71-fa42336e6887'],1,2,Arsenal,1,Arsenal,2043fbb2-cab4-460b-961b-aaca36b12052,0,"{'outcome': {'name': 'Incomplete', 'id': Decimal('9')}}",Center Attacking Midfield,Dribble,No existe,0.0
3749068,107,True,"[Decimal('35.9'), Decimal('29.8')]",Thierry Henry,00:02:32.165,9,1,1,15516,From Counter,['8264c15e-7c77-42b1-87c4-3f7c55802e59'],2,32,Arsenal,1,Arsenal,f679377f-521d-4de3-9a81-565eeb368d1c,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Center Forward,Dribble,No existe,0.0
68363,171,True,"[Decimal('98.1'), Decimal('23.7')]","Daniel Armand N""Gom Komé",00:04:12.618,10,1,901,26126,From Free Kick,['bf323176-2de0-47af-987b-a78edbe66c54'],4,12,Real Valladolid,901,Real Valladolid,83ec4326-381f-45ff-8d0b-676776ae574b,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Center Forward,Dribble,No existe,0.0
